tau,Ibar
1.906187625,7
1.916167665,7
1.926147705,7
1.936127745,7
1.946107784,7
1.956087824,7
1.966067864,7
1.976047904,7
1.986027944,7
1.996007984,7
2.005988024,7
2.015968064,7
2.025948104,7
2.035928144,7
2.045908184,7
2.055888224,7
2.065868263,7
2.075848303,7
2.085828343,7
2.095808383,7
2.105788423,7
2.115768463,7
2.125748503,7
2.135728543,7
2.145708583,7
2.155688623,7
2.165668663,7
2.175648703,7
2.185628743,7
2.195608782,7
2.205588822,7
2.215568862,7
2.225548902,7
2.235528942,7
2.245508982,7
2.255489022,7
2.265469062,7
2.275449102,7
2.285429142,7
2.295409182,7
2.305389222,7
2.315369261,7
2.325349301,7
2.335329341,7
2.345309381,7
2.355289421,7
2.365269461,7
2.375249501,7
2.385229541,7
2.395209581,7
2.405189621,7
2.415169661,7
2.425149701,7
2.435129741,7
2.44510978,7
2.45508982,7
2.46506986,7
2.4750499,7
2.48502994,7
2.49500998,7
2.50499002,7
2.51497006,7
2.5249501,7
2.53493014,7
2.54491018,7
2.55489022,7
2.564870259,7
2.574850299,7
2.584830339,7
2.594810379,7
2.604790419,7
2.614770459,7
2.624750499,7
2.634730539,7
2.644710579,7
2.654690619,7
2.664670659,7
2.674650699,7
2.684630739,7
2.694610778,7
2.704590818,7
2.714570858,8
2.724550898,8
2.734530938,8
2.744510978,8
2.754491018,8
2.764471058,8
2.774451098,8
2.784431138,8
2.794411178,8
2.804391218,8
2.814371257,8
2.824351297,8
2.834331337,8
2.844311377,8
2.854291417,8
2.864271457,8
2.874251497,8
2.884231537,8
2.894211577,8
2.904191617,8
2.914171657,8
2.924151697,8
2.934131737,8
2.944111776,8
2.954091816,8
2.964071856,8
2.974051896,8
2.984031936,8
2.994011976,8
3.003992016,8
3.013972056,8
3.023952096,8
3.033932136,8
3.043912176,8
3.053892216,8
3.063872255,8
3.073852295,8
3.083832335,8
3.093812375,8
3.103792415,8
3.113772455,8
3.123752495,8
3.133732535,8
3.143712575,8
3.153692615,8
3.163672655,8
3.173652695,8
3.183632735,8
3.193612774,8
3.203592814,8
3.213572854,8
3.223552894,8
3.233532934,8
3.243512974,8
3.253493014,8
3.263473054,8
3.273453094,8
3.283433134,8
3.293413174,8
3.303393214,8
3.313373253,8
3.323353293,8
3.333333333,8
3.343313373,8
3.353293413,8
3.363273453,8
3.373253493,8
3.383233533,8
3.393213573,8
3.403193613,8
3.413173653,8
3.423153693,8
3.433133733,8
3.443113772,8
3.453093812,8
3.463073852,8
3.473053892,8
3.483033932,8
3.493013972,8
3.502994012,8
3.512974052,8
3.522954092,8
3.532934132,8
3.542914172,8
3.552894212,8
3.562874251,8
3.572854291,8
3.582834331,8
3.592814371,8
3.602794411,9
3.612774451,9
3.622754491,9
3.632734531,9
3.642714571,9
3.652694611,9
3.662674651,9
3.672654691,9
3.682634731,9
3.69261477,9
3.70259481,9
3.71257485,9
3.72255489,9
3.73253493,9
3.74251497,9
3.75249501,9
3.76247505,9
3.77245509,9
3.78243513,9
3.79241517,9
3.80239521,9
3.81237525,9
3.822355289,9
3.832335329,9
3.842315369,9
3.852295409,9
3.862275449,9
3.872255489,9
3.882235529,9
3.892215569,9
3.902195609,9
3.912175649,9
3.922155689,9
3.932135729,9
3.942115768,9
3.952095808,9
3.962075848,9
3.972055888,9
3.982035928,9
3.992015968,9
4.001996008,9
4.011976048,9
4.021956088,9
4.031936128,9
4.041916168,9
4.051896208,9
4.061876248,9
4.071856287,9
4.081836327,9
4.091816367,9
4.101796407,9
4.111776447,9
4.121756487,9
4.131736527,9
4.141716567,9
4.151696607,9
4.161676647,9
4.171656687,9
4.181636727,9
4.191616766,9
4.201596806,9
4.211576846,9
4.221556886,9
4.231536926,9
4.241516966,9
4.251497006,9
4.261477046,9
4.271457086,9
4.281437126,9
4.291417166,9
4.301397206,9
4.311377246,9
4.321357285,9
4.331337325,9
4.341317365,9
4.351297405,9
4.361277445,9
4.371257485,9
4.381237525,9
4.391217565,9
4.401197605,9
4.411177645,9
4.421157685,9
4.431137725,9
4.441117764,9
4.451097804,9
4.461077844,9
4.471057884,10
4.481037924,10
4.491017964,10
4.500998004,10
4.510978044,10
4.520958084,10
4.530938124,10
4.540918164,10
4.550898204,10
4.560878244,10
4.570858283,10
4.580838323,10
4.590818363,10
4.600798403,10
4.610778443,10
4.620758483,10
4.630738523,10
4.640718563,10
4.650698603,10
4.660678643,10
4.670658683,10
4.680638723,10
4.690618762,10
4.700598802,10
4.710578842,10
4.720558882,10
4.730538922,10
4.740518962,10
4.750499002,10
4.760479042,10
4.770459082,10
4.780439122,10
4.790419162,10
4.800399202,10
4.810379242,10
4.820359281,10
4.830339321,10
4.840319361,10
4.850299401,10
4.860279441,10
4.870259481,10
4.880239521,10
4.890219561,10
4.900199601,10
4.910179641,10
4.920159681,10
4.930139721,10
4.94011976,10
4.9500998,10
4.96007984,10
4.97005988,10
4.98003992,10
4.99001996,10
5,10
